name,lat_deg,lon_deg,country code 
Warsaw Chopin Airport,52.16569901,20.96710014,PL
Luis Munoz Marin International Airport,18.43939972,-66.00180054,PR
Humberto Delgado Airport (Lisbon Portela Airport),38.7813,-9.13592,PT
Hamad International Airport,25.273056,51.608056,QA
Roland Garros Airport,-20.8871,55.5103,RE
Henri Coanda International Airport,44.5711111,26.085,RO
Belgrade Nikola Tesla Airport,44.81840134,20.3090992,RS
Sheremetyevo International Airport,55.972599,37.4146,RU
Kigali International Airport,-1.96863,30.1395,RW
King Fahd International Airport,26.47120094,49.79790115,SA
Honiara International Airport,-9.428,160.054993,SB
Seychelles International Airport,-4.67434,55.521801,SC
Khartoum International Airport,15.5895,32.5532,SD
Stockholm-Arlanda Airport,59.65190125,17.91860008,SE
Singapore Changi Airport,1.35019,103.994003,SG
Ljubljana Joze Pucnik Airport,46.223701,14.4576,SI
M. R. Stefanik Airport,48.17020035,17.21269989,SK
Lungi International Airport,8.61644,-13.1955,SL
Blaise Diagne International Airport,14.67,-17.073333,SN
Johan Adolf Pengel International Airport,5.45283,-55.187801,SR
Juba International Airport,4.87201,31.601101,SS
Monsenor oscar Arnulfo Romero International Airport,13.4409,-89.055702,SV
Princess Juliana International Airport,18.041,-63.108898,SX
Damascus International Airport,33.41149902,36.5155983,SY
King Mswati III International Airport,-26.358611,31.716944,SZ
Providenciales International Airport,21.773697,-72.268321,TC
N'Djamena International Airport,12.1337,15.034,TD
Suvarnabhumi Airport,13.68109989,100.7470016,TH
Ashgabat International Airport,37.986801,58.361,TM
Tunis Carthage International Airport,36.85100174,10.22719955,TN
Istanbul Sabiha Gokcen International Airport,40.898602,29.3092,TR
Julius Nyerere International Airport,-6.87811,39.202599,TZ
Boryspil International Airport,50.34500122,30.8946991,UA
Entebbe International Airport,0.042386,32.443501,UG
Denver International Airport,39.86169815,-104.6729965,US
Carrasco International /General C L Berisso Airport,-34.838402,-56.0308,UY
Tashkent International Airport,41.25790024,69.28119659,UZ
Simon Bolivar International Airport,10.601194,-66.991222,VE
Tan Son Nhat International Airport,10.8188,106.652,VN
Bauerfield International Airport,-17.699301,168.320007,VU
King Shaka International Airport,-29.61444444,31.11972222,ZA
Kenneth Kaunda International Airport,-15.330833,28.452722,ZM
Robert Gabriel Mugabe International Airport,-17.931801,31.0928,ZW
